TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
mal	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Himmel	B-OTH	RELIGION	O	O	O	O	Q4489450	_	_
wiedersehen	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
guter	O	O	O	O	O	O	_	_	_
Vater	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schweren	O	O	O	O	O	O	_	_	_
Zeiten	B-OTH	FOOD	O	O	O	O	Q196819	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
erlebt	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Mutter	B-OTH	FOOD	O	O	O	O	Q34172	_	_
wäre	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
gestorben	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
ganzen	O	O	O	O	O	O	_	_	_
Kräfte	O	O	O	O	O	O	_	_	_
eingesetzt	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
Nun	B-OTH	FOOD	O	O	O	O	Q2005160	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
schließen	O	O	O	O	O	O	_	_	_
indem	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
Gott	B-OTH	RELIGION	O	O	O	O	Q190	_	_
vergelts	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Franz	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Tekla	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Robert	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
August	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
kleine	O	O	O	O	O	O	_	_	_
zukünftige	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
sowie	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Dich	O	O	O	O	O	O	_	_	_
lieber	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Paul	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
Marte	B-OTH	FOOD	O	O	O	O	Q203540	_	_
und	O	O	O	O	O	O	_	_	_
Kinder	B-OTH	FOOD	O	O	O	O	Q15410057	_	_
chen	O	O	O	O	O	O	_	_	_
Indem	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Christkindlein	O	O	O	O	O	O	_	_	_
empfehle	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
Eure	O	O	O	O	O	O	_	_	_
dankbare	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Tante	O	O	O	O	O	O	_	_	_
Fortunata	B-PER	O	O	O	O	O	_	_	_
Bitte	B-OTH	FOOD	O	O	O	O	Q753069	_	_
schreibt	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
Herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Mitschwester	O	O	O	O	O	O	_	_	_
Philothea	O	O	O	O	O	O	_	_	_
Strelitz	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
14121922	O	O	O	O	O	O	_	_	_
G	O	O	O	O	O	O	_	_	_
P	O	O	O	O	O	O	_	_	_
I	I-PER	O	O	O	O	O	_	_	_
E	I-PER	O	O	O	O	O	_	_	_
Meine	I-PER	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Geschwister	O	O	O	O	O	O	_	_	_
Allee	O	O	O	O	O	O	_	_	_
